Code,Company,Market Cap,Sector
ASX:SKI,Spark Infrastructure,3.83B,Utilities
ASX:MTS,Metcash Limited,3.72B,Consumer Staples
ASX:NWL,Netwealth Group,3.7B,Financials
ASX:SGR,The Star Entertainment Group Limited,3.7B,Consumer Discretionary
ASX:CGF,Challenger Limited,3.66B,Financials
ASX:ARB,ARB Corporation,3.63B,Consumer Discretionary
ASX:SDF,Steadfast Group Limited,3.5B,Financials
ASX:VUK,Virgin Money UK PLC,3.43B,Financials
ASX:SAS,Sky and Space Company Ltd,3.42B,Communication Services
ASX:GNE,Genesis Energy,3.41B,Utilities
ASX:VOC,Vocus Group,3.39B,Communication Services
ASX:MLT,Milton Corporation Limited,3.35B,Financials
ASX:CIA,Champion Iron,3.33B,Materials
ASX:VEA,Viva Energy Group,3.31B,Energy
ASX:CDA,Codan Limited,3.29B,Information Technology
ASX:ILU,Iluka Resources,3.28B,Materials
ASX:SGM,Sims Limited,3.26B,Materials
ASX:VGS,Vanguard MSCI Index International Shares ETF,3.21B,Financials
ASX:BKW,Brickworks Limited,3.16B,Materials
ASX:BPT,Beach Energy,3.15B,Energy
ASX:CHN,Chalice Mining Limited,3.1B,Materials
ASX:GOZ,Growthpoint Properties Australia,3.05B,Real Estate
ASX:FLT,Flight Centre Travel,3.03B,Consumer Discretionary
ASX:SUL,Super Retail Group,3.03B,Consumer Discretionary
ASX:CLW,Charter Hall Long WALE REIT,2.99B,Real Estate
ASX:CSR,CSR,2.92B,Materials
ASX:ORA,Orora Group Limited,2.89B,Materials
ASX:NHF,NIB Holdings,2.89B,Financials
ASX:DHG,Domain Holdings Australia Limited,2.89B,Communication Services
ASX:CTD,Corporate Travel Management Limited,2.85B,Consumer Discretionary
ASX:MGF,Magellan Global Fund,2.83B,Unclassified
ASX:TLT,Tilt Renewables Limited,2.82B,Utilities
ASX:TNE,Technology One,2.82B,Information Technology
ASX:PTM,Platinum Asset Management,2.8B,Financials
ASX:BWP,BWP Trust,2.79B,Real Estate
ASX:PDL,Pendal Group Limited,2.78B,Financials
ASX:BAP,Bapcor Limited,2.78B,Consumer Discretionary
ASX:SNZ,Summerset Group Holdings Limited,2.76B,Health Care
ASX:YAL,Yancoal Australia,2.75B,Energy
ASX:LNK,Link Administration Holdings,2.73B,Information Technology
ASX:SCP,SCA Property Group,2.73B,Real Estate
ASX:HLS,Healius Limited,2.71B,Health Care
ASX:IFL,IOOF Holdings,2.69B,Financials
ASX:CNU,Chorus Limited,2.69B,Communication Services
ASX:NIC,Nickel Mines Limited,2.62B,Materials
ASX:ABP,Abacus Property Group,2.53B,Real Estate
ASX:VTS,Vanguard US Total Market Shares Index ETF,2.48B,Financials
ASX:ZIM,Zimplats Holdings,2.45B,Materials
ASX:SKC,SkyCity Entertainment Group Limited,2.42B,Consumer Discretionary
ASX:MP1,Megaport Limited,2.39B,Information Technology
ASX:ORE,Orocobre Limited,2.37B,Materials
ASX:CMW,Cromwell Property Group,2.36B,Real Estate
ASX:LFS,Latitude Financial Services Group Limited,2.35B,Financials
ASX:PBH,Pointsbet Holdings Limited,2.34B,Consumer Discretionary
ASX:LFG,Liberty Financial Group,2.26B,Financials
ASX:DRR,Deterra Royalties Limited,2.26B,Materials
ASX:BIN,Bingo Industries Limited,2.25B,Industrials
ASX:VEU,Vanguard All-World Ex-US Shares Index ETF,2.21B,Financials
ASX:IOO,iShares Global 100 ETF,2.21B,Financials
ASX:CQR,Charter Hall Retail REIT,2.19B,Real Estate
ASX:PPT,Perpetual Limited,2.18B,Financials
ASX:SLK,SeaLink Travel Group Limited,2.16B,Consumer Discretionary
ASX:NSR,National Storage REIT,2.12B,Real Estate
ASX:UWL,Uniti Group Limited,2.08B,Communication Services
ASX:WPR,Waypoint REIT Limited,2.06B,Real Estate
ASX:CIP,Centuria Industrial REIT,2.06B,Real Estate
ASX:IRE,Iress Limited,2.06B,Information Technology
ASX:EVT,Event Hospitality & Entertainment,2.06B,Communication Services
ASX:ABC,Adbri Limited,2.05B,Materials
ASX:GXY,Galaxy Resources Limited,2.02B,Materials
ASX:RRL,Regis Resources,2.01B,Materials
ASX:CCP,Credit Corp Group,2B,Financials
ASX:PNI,Pinnacle Investment Management Group,1.96B,Financials
ASX:INA,Ingenia Communities Group,1.94B,Real Estate
ASX:WAM,WAM Capital,1.92B,Financials
ASX:WEB,Webjet,1.91B,Consumer Discretionary
ASX:DDR,Dicker Data Limited,1.89B,Information Technology
ASX:DEG,De Grey Mining Limited,1.88B,Materials
ASX:NUF,Nufarm,1.88B,Materials
ASX:HUB,HUB24 Limited,1.88B,Financials
ASX:VHY,Vanguard Australian Shares High Yield ETF,1.85B,Financials
ASX:WHC,Whitehaven Coal,1.83B,Energy
ASX:IMU,Imugene Limited,1.83B,Health Care
ASX:TYR,Tyro Payments Limited,1.8B,Information Technology
ASX:IAF,iShares CORE Composite Bond ETF,1.78B,Financials
ASX:BGA,Bega Cheese Ltd,1.77B,Consumer Staples
ASX:PPH,Pushpay Holdings Limited,1.77B,Information Technology
ASX:CEN,Contact Energy Limited,1.76B,Utilities
ASX:ELD,Elders Limited,1.74B,Consumer Staples
ASX:AIZ,Air New Zealand,1.74B,Industrials
ASX:PNV,Polynovo Limited,1.73B,Health Care
ASX:AVN,Aventus Group,1.73B,Real Estate
ASX:PRU,Perseus Mining,1.65B,Materials
ASX:CNI,Centuria Capital Group,1.61B,Real Estate
ASX:APX,Appen Limited,1.6B,Information Technology
ASX:JHG,Janus Henderson Group plc,1.59B,Financials
ASX:IVC,InvoCare Limited,1.59B,Consumer Discretionary
ASX:NAN,Nanosonics,1.58B,Health Care
ASX:MVW,Vaneck Vectors Australian Equal Weight ETF,1.58B,Financials
ASX:SLR,Silver Lake Resources,1.56B,Materials
ASX:MFF,MFF Capital Investments,1.54B,Financials
ASX:LOV,Lovisa Holdings Limited,1.54B,Consumer Discretionary
ASX:RBD,Restaurant Brands New Zealand,1.54B,Consumer Discretionary
ASX:AX1,Accent Group Limited,1.52B,Consumer Discretionary
ASX:LSF,L1 Long Short Fund Limited,1.5B,Financials
ASX:PDN,Paladin Energy Limited,1.5B,Energy
ASX:AUB,AUB Group Limited,1.5B,Financials
ASX:RMS,Ramelius Resources Limited,1.49B,Materials
ASX:MXT,MCP Master Income Trust,1.49B,Financials
ASX:HTA,Hutchison Telecommunications,1.49B,Communication Services
ASX:IPH,IPH Limited,1.47B,Industrials
ASX:CKF,Collins Foods Limited,1.46B,Consumer Discretionary
ASX:LIC,Lifestyle Communities,1.45B,Real Estate
ASX:HMC,Home Consortium,1.44B,Real Estate
ASX:NHC,New Hope Corp,1.42B,Energy
ASX:A200,BetaShares Australia 200 ETF,1.4B,Financials
ASX:ING,Inghams Group Limited,1.39B,Consumer Staples
ASX:CGC,Costa Group Holdings Limited,1.38B,Consumer Staples
ASX:CUV,Clinuvel Pharmaceuticals,1.38B,Health Care
ASX:UMG,United Malt Group Limited,1.35B,Consumer Staples
ASX:BKL,Blackmores Limited,1.33B,Consumer Staples
ASX:PPK,PPK Group Limited,1.31B,Industrials
ASX:TPW,Temple & Webster Group,1.31B,Consumer Discretionary
ASX:CRN,Coronado Global Resources Inc.,1.31B,Materials
ASX:OCL,Objective Corporation,1.31B,Information Technology
ASX:SBM,St Barbara Limited,1.31B,Materials
ASX:TLX,Telix Pharmaceuticals Limited,1.3B,Health Care
